Sample,Input,Output
205,0.140556,0
206,0.17034,0
207,0.199456,0
208,0.227788,0
209,0.255226,0
210,0.28166,0
211,0.306988,0
212,0.33111,0
213,0.353931,0
214,0.375362,0
215,0.395318,0
216,0.41372,0
217,0.430498,0
218,0.445584,0
219,0.45892,0
220,0.470452,0
221,0.480137,0
222,0.487935,0
223,0.493816,0
224,0.497757,0
225,0.499743,0
226,0.499765,0
227,0.497824,0
228,0.493927,0
229,0.48809,0
230,0.480335,0
231,0.470693,0
232,0.459202,0
233,0.445907,0
234,0.43086,0
235,0.41412,0
236,0.395753,0
237,0.375832,0
238,0.354434,0
239,0.331643,0
240,0.30755,0
241,0.282248,0
242,0.255838,0
243,0.228422,0
244,0.200109,0
245,0.17101,0
246,0.141239,0
247,0.110913,0
248,0.0801516,0
249,0.049075,0
250,0.0178057,0
251,-0.0135336,0
252,-0.0448197,0
253,-0.0759297,0
254,-0.106741,0
255,-0.137134,0
256,-0.166987,0
257,-0.196185,0
258,-0.224612,0
259,-0.252156,0
260,-0.27871,0
261,-0.304169,0
262,-0.328433,0
263,-0.351406,0
264,-0.372999,0
265,-0.393127,0
266,-0.41171,0
267,-0.428675,0
268,-0.443957,0
269,-0.457494,0
270,-0.469234,0
271,-0.479131,0
272,-0.487145,0
273,-0.493245,0
274,-0.497408,0
275,-0.499616,0
276,-0.499862,0
277,-0.498144,0
278,-0.494468,0
279,-0.488851,0
280,-0.481312,0
281,-0.471883,0
282,-0.4606,0
283,-0.447507,0
284,-0.432656,0
285,-0.416105,0
286,-0.39792,0
287,-0.378172,0
288,-0.356937,0
289,-0.334301,0
290,-0.310351,0
291,-0.285181,0
292,-0.258892,0
293,-0.231585,0
294,-0.203368,0
295,-0.174353,0
296,-0.144652,0
297,-0.114383,0
298,-0.0836653,0
299,-0.0526185,0
300,-0.0213649,0
301,0.00997265,0
302,0.041271,0
303,0.0724072,0
304,0.103259,0
305,0.133705,0
306,0.163626,0
307,0.192904,0
308,0.221424,0
309,0.249074,0
310,0.275746,0
311,0.301334,0
312,0.325739,0
313,0.348863,0
314,0.370618,0
315,0.390916,0
316,0.409678,0
317,0.426831,0
318,0.442307,0
319,0.456045,0
320,0.467992,0
321,0.4781,0
322,0.48633,0
323,0.492649,0
324,0.497033,0
325,0.499464,0
326,0.499933,0
327,0.498438,0
328,0.494984,0
329,0.489586,0
330,0.482265,0
331,0.473048,0
332,0.461974,0
333,0.449084,0
334,0.43443,0
335,0.41807,0
336,0.400067,0
337,0.380492,0
338,0.359422,0
339,0.336941,0
340,0.313135,0
341,0.2881,0
342,0.261932,0
343,0.234736,0
344,0.206617,0
345,0.177687,0
346,0.148058,0
347,0.117848,0
348,0.0871748,0
349,0.0561592,0
350,0.0249229,0
351,-0.00641124,0
352,-0.0377202,0
353,-0.068881,0
354,-0.0997712,0
355,-0.130269,0
356,-0.160256,0
357,-0.189613,0
358,-0.218225,0
359,-0.245979,0
360,-0.272767,0
361,-0.298484,0
362,-0.323028,0
363,-0.346303,0
364,-0.368217,0
365,-0.388685,0
366,-0.407626,0
367,-0.424965,0
368,-0.440635,0
369,-0.454574,0
370,-0.466726,0
371,-0.477046,0
372,-0.485491,0
373,-0.492028,0
374,-0.496633,0
375,-0.499287,0
376,-0.499979,0
377,-0.498706,0
378,-0.495475,0
379,-0.490297,0
380,-0.483193,0
381,-0.47419,0
382,-0.463325,0
383,-0.450639,0
384,-0.436183,0
385,-0.420013,0
386,-0.402193,0
387,-0.382793,0
388,-0.361889,0
389,-0.339564,0
390,-0.315904,0
391,-0.291004,0
392,-0.26496,0
393,-0.237875,0
394,-0.209855,0
395,-0.181012,0
396,-0.151457,0
397,-0.121307,0
398,-0.0906799,0
399,-0.0596971,0
400,-0.0284797,0
401,0.0028495,0
402,0.0341676,0
403,0.0653514,0
404,0.0962785,0
405,0.126827,0
406,0.156878,0
407,0.186312,0
408,0.215014,0
409,0.242872,0
410,0.269775,0
411,0.295619,0
412,0.320301,0
413,0.343725,0
414,0.365798,0
415,0.386435,0
416,0.405553,0
417,0.423078,0
418,0.43894,0
419,0.453079,0
420,0.465437,0
421,0.475967,0
422,0.484626,0
423,0.491382,0
424,0.496208,0
425,0.499084,0
426,0.499999,0
427,0.49895,0
428,0.49594,0
429,0.490983,0
430,0.484096,0
431,0.475308,0
432,0.464652,0
433,0.452171,0
434,0.437913,0
